temperature,date
4.2,2025-01-09 13:58:38.140593+00:00
5.5,2025-01-09 14:13:38.180927+00:00
5,2025-01-09 14:58:38.138678+00:00
5.6,2025-01-09 15:13:38.139371+00:00
5.9,2025-01-09 16:13:38.140572+00:00
5.1,2025-01-09 16:58:38.142081+00:00
5.4,2025-01-09 17:13:38.180764+00:00
4.9,2025-01-09 17:58:38.138445+00:00
5,2025-01-09 18:13:38.139711+00:00
4.2,2025-01-09 18:58:38.139370+00:00
4.9,2025-01-09 19:13:38.146169+00:00
4.6,2025-01-09 20:13:38.149442+00:00
4.7,2025-01-09 21:13:38.153819+00:00
4.1,2025-01-09 22:13:38.139226+00:00
4.9,2025-01-09 22:58:38.138317+00:00
4.5,2025-01-09 23:13:38.138062+00:00
4.6,2025-01-09 23:58:38.148500+00:00
4.4,2025-01-10 00:58:38.147471+00:00
4.6,2025-01-10 01:13:38.139419+00:00
4.7,2025-01-10 03:13:38.150222+00:00
3.5,2025-01-10 03:58:38.146252+00:00
4.6,2025-01-10 04:13:38.149928+00:00
4.2,2025-01-10 05:13:38.151884+00:00
3.6,2025-01-10 05:58:38.147991+00:00
4.5,2025-01-10 06:13:38.138821+00:00
3.6,2025-01-10 06:58:38.147093+00:00
4.6,2025-01-10 07:13:38.140487+00:00
3.6,2025-01-10 07:58:38.150327+00:00
4.4,2025-01-10 08:13:38.142217+00:00
3.9,2025-01-10 08:58:38.139194+00:00
4.6,2025-01-10 09:13:38.139529+00:00
4.9,2025-01-10 10:13:38.151674+00:00
4.6,2025-01-10 10:58:38.138457+00:00
4.4,2025-01-10 11:13:38.151708+00:00
5.1,2025-01-10 11:58:38.140316+00:00
4.6,2025-01-10 12:13:38.138491+00:00
5.2,2025-01-10 12:58:38.138551+00:00
4.5,2025-01-10 13:13:38.138791+00:00
